行政區,里別,鄰別,基本學區
東區,泉南里,全,勝利國小
東區,衛國里,全,勝利國小
東區,新東里,全,勝利國小
東區,東安里,全,勝利國小
東區,中西里,全,勝利國小
東區,東門里,7-12 鄰,勝利國小
東區,東門里,1-5 鄰,博愛國小
東區,東門里,6 鄰,共同學區：勝利國小、博愛國小
東區,大同里,5-8、12-13 鄰,勝利國小
東區,大同里,14-20 鄰,大同國小
東區,大同里,1-4、9-10 鄰,共同學區：勝利國小、博愛國小
東區,大同里,11 鄰,共同學區：勝利國小、大同國小
東區,大學里,1-2、4-7、9-10、12-13 鄰,勝利國小
東區,大學里,3、8、11 鄰,共同學區：勝利國小、博愛國小
東區,龍山里,6-7、9-13、16、18-19、22-23 鄰,勝利國小
東區,龍山里,1-5、8、14-15、17、20-21、24-28 鄰,崇學國小
東區,圍下里,1-6 鄰,勝利國小
東區,圍下里,7-12 鄰,博愛國小
東區,崇誨里,全,共同學區：勝利國小、東光國小
東區,成大里,全,博愛國小
東區,路東里,全,大同國小
東區,大福里,全,大同國小
東區,忠孝里,全,大同國小
東區,大德里,全,大同國小
東區,崇明里,1-3、7-9、11-12、14 鄰,大同國小
東區,崇明里,4-6、10、13、15-18 鄰,崇明國小
東區,後甲里,2-13、15-21 鄰,東光國小
東區,後甲里,1、14 鄰,共同學區：東光國小、裕文國小、復興國小
東區,小東里,全,東光國小
東區,東光里,全,東光國小
東區,東明里,全,東光國小
東區,莊敬里,全,東光國小
東區,裕農里,全,東光國小
東區,富強里,1-3、6-9、11、25 鄰,東光國小
東區,富強里,4-5、10、12-24、26 鄰,共同學區：東光國小、崇學國小
東區,富裕里,全,共同學區：東光國小、崇學國小
東區,和平里,全,德高國小
東區,大智里,全,德高國小
東區,德高里,全,德高國小
東區,仁和里,全,德高國小
東區,崇善里,3、7、11-23 鄰,德高國小
東區,崇善里,1-2、4-6、8-10 鄰,共同學區：德高國小、崇學國小
東區,崇文里,1-4、6-11、13、15-23、25 鄰,崇明國小
東區,崇文里,5、12、14、24、26-35 鄰,共同學區：德高國小、崇明國小
東區,東智里,全,共同學區：德高國小、崇明國小、仁德區仁和國小、虎山實小
東區,崇學里,全,崇學國小
東區,崇信里,全,崇學國小
東區,德光里,全,崇學國小
東區,崇德里,1、3-6 鄰,崇學國小
東區,崇德里,2、7-24 鄰,崇明國小
東區,東聖里,全,復興國小
東區,自強里,全,復興國小
東區,復興里,全,復興國小
東區,虎尾里,全,復興國小
東區,南聖里,1-2、5-6、8-11 鄰,復興國小
東區,南聖里,3-4、7、12-13 鄰,裕文國小
東區,關聖里,1-3、7-17 鄰,復興國小
東區,關聖里,4-6、18-20 鄰,裕文國小
東區,裕聖里,1、11、16、20-22 鄰,復興國小
東區,裕聖里,2-10、12-15、17-19、23 鄰,裕文國小
東區,文聖里,1-4、6-7、9-14 鄰,復興國小
