行政區,里別,鄰別,基本學區
東區,大學,全里,後甲國中
東區,小東,全里,後甲國中
東區,中西,全里,後甲國中
東區,成大,全里,後甲國中
東區,東光,全里,後甲國中
東區,東明,全里,後甲國中
東區,東門,1 至 5 鄰,後甲國中
東區,崇誨,全里,後甲國中
東區,莊敬,全里,後甲國中
東區,圍下,全里,後甲國中
東區,裕農,全里,後甲國中
東區,衛國,全里,後甲國中
北區,東興,全里,後甲國中
東區,東門,6 至 12 鄰,後甲國中、忠孝國中共同學區
東區,東安,全里,後甲國中、忠孝國中共同學區
東區,大同,5 至 9 鄰、11 至 20 鄰,忠孝國中
東區,大福,全里,忠孝國中
東區,大德,全里,忠孝國中
東區,忠孝,全里,忠孝國中
東區,泉南,全里,忠孝國中
東區,崇信,全里,忠孝國中
東區,崇學,全里,忠孝國中
東區,富裕,全里,忠孝國中
東區,新東,全里,忠孝國中
東區,路東,全里,忠孝國中
東區,德光,全里,忠孝國中
東區,龍山,全里,忠孝國中
南區,新生,全里,忠孝國中
東區,大同,1 至 4 鄰,忠孝國中、建興國中、中山國中共同學區
東區,大同,10 鄰,忠孝國中、大成國中共同學區
東區,崇文,全里,忠孝國中、崇明國中共同學區
東區,崇成,全里,忠孝國中、崇明國中共同學區
東區,崇明,全里,忠孝國中、崇明國中共同學區
東區,崇善,全里,忠孝國中、崇明國中共同學區
東區,崇德,全里,忠孝國中、崇明國中共同學區
南區,大林,全里,忠孝國中、大成國中共同學區
南區,大忠,全里,忠孝國中、崇明國中、大成國中共同學區
南區,大恩,全里,忠孝國中、崇明國中、大成國中共同學區
東區,文聖,全里,復興國中
東區,自強,全里,復興國中
東區,東聖,全里,復興國中
東區,虎尾,全里,復興國中
東區,南聖,全里,復興國中
東區,後甲,全里,復興國中
東區,復興,全里,復興國中
東區,裕聖,全里,復興國中
東區,關聖,全里,復興國中
東區,富強,全里,復興國中
仁德區,太子,全里,復興國中
仁德區,土庫,全里,復興國中
仁德區,一甲,全里,復興國中
仁德區,仁德,19 至 21 鄰、27 至 30 鄰,復興國中
仁德區,仁德,18 鄰、23 至 26 鄰,復興國中、仁德國中共同學區
東區,東智,全里,崇明國中
東區,仁和,全里,崇明國中
東區,和平,全里,崇明國中
東區,大智,全里,崇明國中、仁德國中共同學區
東區,德高,全里,崇明國中、仁德國中共同學區
仁德區,仁德,17、22 鄰,崇明國中、仁德國中共同學區
仁德區,仁和,1 至 6 鄰,崇明國中、仁德國中共同學區
仁德區,仁和,7 鄰,崇明國中、仁德國中、仁德文賢國中共同學區
仁德區,仁愛,全里,崇明國中、仁德國中共同學區
仁德區,成功,全里,崇明國中、仁德國中、仁德文賢國中共同學區
南區,大成,全里,大成國中
南區,田寮,全里,大成國中
南區,府南,全里,大成國中
南區,明德,全里,大成國中
南區,郡南,全里,大成國中
南區,新興,1 至 9、12 至 18 鄰,大成國中
南區,廣州,1 至 13 鄰,大成國中
南區,建南,全里,大成國中、新興國中、南寧高中國中部共同學區
南區,明興,全里,大成國中、新興國中共同學區
南區,再興,全里,大成國中、新興國中共同學區
南區,明亮,全里,大成國中、新興國中共同學區
南區,新興,10、11 鄰,大成國中、新興國中共同學區
南區,竹溪,全里,大成國中、中山國中、建興國中共同學區
南區,新昌,全里,大成國中、中山國中共同學區
南區,廣州,14、15 鄰,大成國中、中山國中共同學區
中西區,小西門,1 至 14 鄰,大成國中、中山國中、建興國中共同學區
南區,光明,全里,新興國中
南區,金華,全里,新興國中
南區,南華,全里,新興國中
南區,國宅,全里,新興國中
南區,開南,全里,新興國中
南區,彰南,全里,新興國中
南區,鹽埕,全里,新興國中
南區,南都,全里,新興國中、南寧高中國中部共同學區
